front,back
"How is the ball put into play at the start of the 2nd and 4th periods?

<i>Rule 1 | Section 3 | Article 3</i>","At the start of the 2nd and 4th periods, the ball shall be put into play by the team entitled to do so, at a point corresponding exactly to the point where the ball became dead at the opposite end of the field, and in exactly the same manner as if play had not been interrupted by the end of the previous period."
"How long is the standard rest period at half time?

<i>Rule 1 | Section 3 | Article 4</i>","A 20-minute rest period shall be allowed at the end of the 2nd period, or such other rest period as the league shall decide."
"What is the penalty if a team is late appearing on the field at the start of the 1st or 3rd period?

<i>Rule 1 | Section 3 | Article 5</i>","The penalty for a team being late appearing on the field at the start of the 1st or 3rd period is L10, with no option."
"What determines the procedure for breaking a tie game if the score is tied at the end of the 4th period?

<i>Rule 1 | Section 3 | Article 6</i>","The procedure to break a tie game shall be the prerogative of the governing football association, with the consideration that the safety of the athlete is of prime importance. Any such procedures must be communicated in writing to both teams and the Referee prior to the game."
"In the absence of prepared tie-breaking regulations, what options does the winner of the coin toss have for overtime?

<i>Rule 1 | Section 3 | Article 6</i>","The winner of the coin toss shall choose one of the following options: 1) Offense or defense, with the offense at the opponent’s 35-yard line to start, or 2) Which end of the field shall be used for the overtime period."
"In overtime, what happens after the loser of the toss exercises their option for the first extra period?

<i>Rule 1 | Section 3 | Article 6</i>",The loser of the toss shall have the first choice of the two options (offense/defense or end of field) for subsequent even-numbered extra periods.
"How long does each team retain the ball during an extra period in overtime?

<i>Rule 1 | Section 3 | Article 6</i>",Each team retains the ball until it scores or fails to make a first down. The ball remains alive after a change of team possession until it is declared dead.
"What is the scoring rule if a tie persists after three extra periods in overtime?

<i>Rule 1 | Section 3 | Article 6</i>","If the score is still tied after three extra periods having been played, any subsequent touchdown must be followed by a two-point conversion."
"Are team time-outs allowed during overtime play?

<i>Rule 1 | Section 3 | Article 6</i>","No, there shall be no team time-outs during overtime play."
"What is recommended regarding balls for wet day procedures?

<i>Rule 1 | Section 3 | Article 3 (Wet Day Procedure)</i>","On wet days, it is recommended that at least three balls be available which may be changed at the discretion of the Referee."
"What is suggested for keeping balls clean and dry on wet days?

<i>Rule 1 | Section 3 | Article 3 (Wet Day Procedure)</i>","It is suggested that «ball persons» be used, one on either side of the field, to keep the balls as clean and dry as possible."
"How many players from each team are allowed on the field at any one time?

<i>Rule 1 | Section 4 | Article 1</i>",Each team consists of 12 players on the field at any one time.
"What is the recommended minimum number of players a team should have dressed to start the game?

<i>Rule 1 | Section 4 | Article 1</i>",It is recommended that Teams have a minimum of 24 players dressed to start the game.
"How are teams designated for identification in Approved Rulings in the Case Book?

<i>Rule 1 | Section 4 | Article 2</i>","The team which puts the ball into play shall be identified as Team A, and the other team as Team B."
"Who is the sole communicator between a team and the officials?

<i>Rule 1 | Section 4 | Article 3</i>","The captain shall be the sole communicator between the team and the officials, through the Referee."
"What is the penalty for a player or bench occupant commenting for the supposed benefit of the officials?

<i>Rule 1 | Section 4 | Article 3</i>",Penalty L10. No option.
"Under what conditions can a choice made by a captain, such as on a kick off or penalty option, be revoked?

<i>Rule 1 | Section 4 | Article 3</i>","After the choice on a kick off has been communicated to the opponents by the Referee, the choice may not be revoked. After the choice of penalty or option has been made, the choice may not be revoked."
"When may the Referee decline a request for a measurement?

<i>Rule 1 | Section 4 | Article 3</i>",The Referee may decline a request for a measurement if satisfied beyond all reasonable doubt that a first down has or has not been made.
"Who is permitted in the vicinity of the measurement when the distance chains are called in?

<i>Rule 1 | Section 4 | Article 3</i>",Only the on-field captain of each team shall be permitted in the vicinity of the measurement.
"Under what circumstances does time start on the Referee's signal following a kick-off?

<i>Rule 1 | Section 5 | Article 1</i>","Time starts on the Referee's signal when the ball, following a kick-off, touches, or is touched by a player of either team, in bounds."
"When does time start if a 'time count' foul or a timeout due to crowd noise occurs?

<i>Rule 1 | Section 5 | Article 1</i>",Time starts when the ball is snapped after a 'time count' foul or after a timeout due to the noise of the crowd.
"After the 3-minute warning, when does time start following an incomplete forward pass or a ball carried out of bounds?

<i>Rule 1 | Section 5 | Article 1</i>","After the 3-minute warning signal has been given in any half, time starts when the ball is snapped following an incomplete forward pass or the ball being carried out of bounds."
"Can timing rules be amended by individual leagues, and if so, how?

<i>Rule 1 | Section 5 | Article 1</i>","Yes, timing rules may be amended by individual leagues to shorten games into an allotted time slot, but no change may be made that will lengthen a game."
"When does the game clock stop due to a procedural penalty after a timeout or 3-minute warning?

<i>Rule 1 | Section 5 | Article 2</i>","The game clock stops (is held) following a timeout or after the 3-minute warning, if the game clock is already held from the previous play and the play is stopped for a procedural penalty by either Team."
"When does time stop on the signal of a field official related to scoring?

<i>Rule 1 | Section 5 | Article 2</i>",Time stops on the signal of a field official when a score has been made and throughout any convert attempt.
"Under what condition does time stop if there are multiple player substitutions?

<i>Rule 1 | Section 5 | Article 2</i>",Time stops if three or more players from either team substitute at the same time.
"What happens to the game clock after the 3-minute warning in any half?

<i>Rule 1 | Section 5 | Article 2</i>",Time stops when the ball becomes dead after the three-minute warning signal in any half.
"When is it recommended that time stops in games shorter than 48 minutes?

<i>Rule 1 | Section 5 | Article 2</i>","For any game of less than 48 minutes, it is recommended that time stops as the first down distance has been made (after the ball is dead)."
"What happens if the ball becomes dead with only a short period of time remaining in any period?

<i>Rule 1 | Section 5 | Article 3</i>","The team in possession is entitled to one complete play, even if it extends beyond the normal termination of that period."
"When does a period end if the last play is a legally scored touchdown?

<i>Rule 1 | Section 5 | Article 3</i>","The period will be extended for the convert attempt following the touchdown, and will end when the ball is declared dead on the convert, without a foul."
"How many timeouts is each team allowed per half, and for how long?

<i>Rule 1 | Section 5 | Article 4</i>","Each team is entitled to two timeouts in each half, and each timeout is 1 minute long."
"Who can request a timeout and during what timeframe?

<i>Rule 1 | Section 5 | Article 4</i>","Any player, head coach, or designated head coach may request a timeout from the time the ball becomes dead until it is put into play."
"What is the penalty if Team A players remain in close proximity to their bench after a timeout?

<i>Rule 1 | Section 5 | Article 4</i>","Team A players will be penalized for illegal procedure (L5 PLS DR) if they remain in close proximity to their bench after a timeout and conference, instead of returning to their huddle or moving clearly away from the team bench area."
"Under the mercy rule, when does the clock run continuously in the second half?

<i>Rule 1 | Section 5 | Article 5</i>","Any time after the first half, if the difference in score between the two teams becomes 35 points or more, the clock will be running time for the remainder of the game."
"What are the exceptions to the running clock under the mercy rule?

<i>Rule 1 | Section 5 | Article 5</i>","The clock will stop for injuries, scores, timeouts, or any reason the Referee deems necessary to stop the clock."
"Does the mercy rule apply to U Sport and CJFL levels?

<i>Rule 1 | Section 5 | Article 5</i>","No, the mercy rule does not apply for U Sport and CJFL levels."
"When is a player considered to be in possession of the ball?

<i>Rule 1 | Section 6 | Article 1</i>","A player is in possession of the ball when it is firmly held in their hand or hands, arm or arms, leg or legs, or under their body."
"When players from opposite teams dispute possession of the ball, who does it belong to?

<i>Rule 1 | Section 6 | Article 2</i>",It shall belong to the player who first gained possession and has not lost possession.
"If players of opposite teams legally gain simultaneous possession of the ball, to which team does the ball belong?

<i>Rule 1 | Section 6 | Article 3</i>",It shall belong to the team which last previously had possession.
"What happens if a forward pass is caught simultaneously by eligible receivers of both teams?

<i>Rule 1 | Section 6 | Article 3</i>",The ball shall belong to Team A.
"What happens if a kick-off is legally caught simultaneously by players of opposite teams before it has been touched by any other player after the kick-off?

<i>Rule 1 | Section 6 | Article 3</i>",The kick-off is repeated at the previous line of kick-off.
"What happens if a kick-off is legally caught simultaneously by players of opposite teams after it has been legally touched by another player or players?

<i>Rule 1 | Section 6 | Article 3</i>",Possession goes to the team which last touched it before the simultaneous possession.
"When does a change of possession occur during a scrimmage play?

<i>Rule 1 | Section 6 | Article 4</i>","Team A is in possession until it loses possession (e.g., fumble, blocked kick). Team B is in possession when a B player gains possession. Until Team A or Team B gains possession, the ball is defined as a "".loose ball."""
"When does a change of possession occur during a forward pass?

<i>Rule 1 | Section 6 | Article 4</i>","Team A is in possession until the pass is ruled incomplete, or the ball is intercepted by Team B. Team B is in possession when a B player intercepts the pass."
"When does a change of possession occur during a scrimmage kick?

<i>Rule 1 | Section 6 | Article 4</i>","Team A is in possession until the ball is kicked. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is "".in flight."""
"When does a change of possession occur during a return kick?

<i>Rule 1 | Section 6 | Article 4</i>","Team B is in possession until the B player has kicked the ball, which is then "".in flight."" until either Team A or Team B regains possession."
"When does a change of possession occur during a kick-off?

<i>Rule 1 | Section 6 | Article 4</i>","Neither team is in possession prior to the kick-off. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is "".in flight."""
"For penalty applications involving "".before change of possession, loose ball, ball in flight or after change of possession,"" when is legal touching of a kicked ball (other than a kickoff) considered possession?

<i>Rule 1 | Section 6 | Article 4</i>",Such touching shall be deemed to be possession.
"Under what conditions is the ball considered in play after a kick off or scrimmage?

<i>Rule 1 | Section 7 | Article 1</i>",The ball is in play from a kick off or scrimmage until a field official stops play by sounding the whistle.
"When does the ball remain in play after striking an official?

<i>Rule 1 | Section 7 | Article 1</i>","The ball is in play when it strikes an official who is not out of bounds, except on a forward pass."
"When is a ball held for a place kick considered in play?

<i>Rule 1 | Section 7 | Article 1</i>","The ball is in play when it is held in position by a player for the purpose of making a place kick, except on a kick off."
"What happens regarding play status if a forward pass is intercepted by a player in their end zone?

<i>Rule 1 | Section 7 | Article 1</i>",The ball is in play if a forward pass is intercepted by a player in their end zone.
"When may a play be stopped due to player injury or to impose a penalty?

<i>Rule 1 | Section 7 | Article 2</i>","The play shall not be stopped because of player injury, or to impose a penalty until the ball is dead."
"What is the penalty for an unauthorized delay due to player injury or any other reason?

<i>Rule 1 | Section 7 | Article 2</i>","The penalty for unauthorized delay is L10, with no option."
"What is the maximum duration for an official time out called by the Referee for medical attention related to bleeding?

<i>Rule 1 | Section 7 | Article 2</i>",The Referee will call an official time out of no more than two (2) minutes to allow for medical attention and/or care of equipment related to bleeding.
"When does the ball become dead during a game?

<i>Rule 1 | Section 8 | Article 1</i>","The ball becomes dead when a field official blows the whistle to end play, the ball or a player with possession goes out of bounds, any score is made, the ball carrier is tackled and forward progress halted, a forward pass is incomplete or strikes certain objects/officials, it's in possession of a player lying on the ground (or held for a kick off), it strikes the opponent's goal post in flight from certain kicks (originating in field of play), or any part of the ball carrier (other than hands or feet) touches the ground."
"Under what specific condition is the ball NOT dead even if a player's body part (other than hands or feet) touches the ground?

<i>Rule 1 | Section 8 | Article 1 (h) Exception</i>","The ball is not dead when a player is holding the ball for a field goal or convert attempt, even if a part of their body other than hands or feet touches the ground."
"When a ball carrier is tackled and driven back towards their own goal line, how is the point where the ball became dead determined?

<i>Rule 1 | Section 8 | Article 1 Note 1</i>",The most forward point of advance is considered to be the point where the ball became dead.
"If a ball carrier breaks a tackle and retreats toward their own goal line before being held, where is the point of advance for where the ball becomes dead?

<i>Rule 1 | Section 8 | Article 1 Note 2</i>",The point of advance where the ball becomes dead is considered as the point at which the ball carrier is subsequently held.
"What happens immediately if a ball carrier loses their helmet?

<i>Rule 1 | Section 8 | Article 1 (j)</i>",The ball is immediately declared dead if the ball carrier loses their helmet.
"What choices does a team in possession have if the whistle is inadvertently blown?

<i>Rule 1 | Section 8 | Article 1 Note 4 (1)</i>","The team in possession has the choice to either cancel the current play and repeat it from where it began (PLS or kick-off), or have the play terminate at the PBH (Point of Ball Held) when the whistle was blown, with downs continuing if distance was not gained."
"When is the ball considered to be in the End Zone?

<i>Rule 1 | Section 9 | Article 1</i>","The ball is in the End Zone when: a) Any part of the ball is on, or behind the goal line, even in the air. b) Any part of the ball touches the plane of the goal line."
"Under what condition is the ball NOT considered to be in the End Zone?

<i>Rule 1 | Section 9 | Article 1</i>","The ball is not in the End Zone when the whole ball is completely ahead of the goal line, or the plane of the goal line."
"Under what conditions is the ball considered out of bounds?

<i>Rule 1 | Section 10 | Article 1</i>","The ball is out of bounds when: a) It touches any boundary line, or the ground or any object on or beyond these lines, including an official, any player or substitute. b) A player in possession of the ball touches any boundary line, or the ground or any object beyond these lines, except a field official or another player who is out of bounds, while the ball carrier is fully in bounds."
"When the ball is carried out of bounds on the field of play, to which team does it belong?

<i>Rule 1 | Section 10 | Article 2</i>","It shall belong to the team carrying it out of bounds, at the point where the ball crossed the line before it went out of bounds, except on third down when the required distance has not been gained."
"Who gets possession when a ball is kicked out of bounds on the field of play?

<i>Rule 1 | Section 10 | Article 3</i>","It shall belong to the opposite team, subject to the option of penalty applicable on the play."
"What is the score when a player kicks a ball out of bounds in their own end zone?

<i>Rule 1 | Section 10 | Article 3</i>","It will result in a score of 1 or 2 points, unless the ball is in the end zone from a forward pass intercepted in the end zone, or as a result of a fumble into the end zone by an opponent."
"What happens to possession if a forward pass is thrown out of bounds?

<i>Rule 1 | Section 10 | Article 4</i>","A ball thrown out of bounds on a forward pass shall remain in possession of the passing team, except on third down when the required distance has not been gained."
"When a fumbled ball goes out of bounds, or touches a player and then goes out of bounds, which team gets possession?

<i>Rule 1 | Section 10 | Article 5</i>","It shall belong to the team which last touched the ball, 24 yards (22 metres) in from the sideline at whichever point is closer to the goal line of the team entitled to possession, either where the ball went out of bounds, OR where the ball was last touched in the field of play. This excludes forward passes thrown out of bounds."
"What is the ruling if a player fumbles the ball from the field of play directly over the opponent's goal line and out of bounds in the end zone without touching an opponent?

<i>Rule 1 | Section 10 | Article 6</i>","It shall be ruled as a fumble, out of bounds, in the field of play, with the ball declared dead at the point where it was last touched in the field of play."
"What is the ruling if a player fumbles the ball over the opponent's goal line, and it is last touched by a teammate without gaining possession and then goes out of bounds in the end zone?

<i>Rule 1 | Section 10 | Article 6</i>","The ball shall be awarded to the team making the fumble, at the point of the original fumble."
"What happens if a player fumbles the ball over the opponent's goal line, it's recovered or last touched by an opponent without possession, and then goes out of bounds in the end zone?

<i>Rule 1 | Section 10 | Article 6</i>","There shall be no score and the ball shall be awarded to the opponent, at any point on or between the hash marks on the 20 yard (20 metre) line if the ball goes dead in the end zone. (Exception – Blocked Kick – Rule 5, Section 3, Article 4)"
"When is a safety touch awarded if a ball is fumbled or directed into a team's own end zone?

<i>Rule 1 | Section 10 | Article 6</i>","A safety touch shall be awarded when a player fumbles or directs the ball from the field of play into their own end zone, where the ball goes out of bounds without possession being gained by either team."
"What is the score when a player fumbles the ball in their own end zone to out of bounds in the end zone, even if touched by another player?

<i>Rule 1 | Section 10 | Article 7</i>","A score of 1 or 2 points shall be awarded as applicable, unless the ball is in the end zone from a forward pass intercepted, or a fumble into the end zone by an opponent, or the ball carrier was knocked back and is not free to advance."
"What is the penalty for an offside pass in the end zone when a player fumbles the ball from their own end zone, over the goal line, and then out of bounds without touching an opponent?

<i>Rule 1 | Section 10 | Article 7</i>","Team A: 1st/2nd down results in a safety touch to B, or B's option to allow A to scrimmage 24 yards (22 metres) in from the out-of-bounds point with downs continuing. 3rd down results in a safety touch to B, or B's possession 24 yards (22 metres) in from the out-of-bounds point. Team B: 1 or 2 points as applicable, or A's option to allow B to scrimmage 24 yards (22 metres) in from the out-of-bounds point."
"Under what conditions is a player allowed to go out of bounds and legally return to participate in the play?

<i>Rule 1 | Section 10 | Article 8</i>","A player is allowed to return to the field and participate if they went out of bounds as a result of: a) a slippery field; b) contact with an opponent; or c) a missed block or tackle. The player must re-establish themselves in the field of play with at least one foot in bounds and no contact with out of bounds. Otherwise, it is illegal participation (Penalty – L10)."
"What is the penalty for an out-of-bounds player illegally reaching back into or re-entering the field of play to touch or recover a loose ball?

<i>Rule 1 | Section 10 | Article 8</i>","Penalty – LB PF (Loss of Ball, Point of Foul)."
"What is the penalty if a player illegally participates by going out of bounds on a Kick-off before possession has been legally gained?

<i>Rule 1 | Section 10 | Article 8</i>",Penalty - L10 from the point of kick-off repeat kick-off or option.
"What is the penalty if a player illegally participates by going out of bounds after possession has been legally gained on a Kick-off?

<i>Rule 1 | Section 10 | Article 8</i>","Penalty - L10 PP (Previous Play), PBH (Point Behind Hole), PBD (Point Ball Dead) or option."
"What is the penalty if a player of Team B reaches back into the field of play while still out of bounds and touches a kickoff?

<i>Rule 1 | Section 10 | Article 8</i>",Ball is dead at spot of touch with possession awarded along with 10-yard penalty for Illegal participation.
"Under what condition may a Referee remove a player due to equipment?

<i>Rule 1 | Section 11 | Article 1</i>","The Referee may remove any player from the game who is wearing equipment which, in the Referee’s opinion, endangers a participant."
"What is illegal regarding team uniforms?

<i>Rule 1 | Section 11 | Article 1</i>",No team shall wear uniforms that blend closely with the color of the ball. Numbers on uniforms must also be easy to identify.
"What is the prime responsibility for proper equipment?

<i>Rule 1 | Section 11 | Article 1</i>",The prime responsibility of proper equipment rests on the Head Coach or their designate.
"What are the mandatory equipment items that all players must wear?

<i>Rule 1 | Section 11 | Article 1</i>","All players must wear knee protection (soft padding or designed inserts without buckles, Velcro, clips, or straps), thigh guards, hip pads with tailbone protector, shoulder pads, a mouthguard covering all upper jaw teeth, and shoes meeting specific criteria or providing less ground fixation (like ripple soles or broomball type shoes without cleats)."
"What is prohibited regarding adhesive material, grease, or slippery substances?

<i>Rule 1 | Section 11 | Article 1</i>","Adhesive material, grease, or any other slippery substance applied on a player’s person or clothing that affects the ball or an opponent is illegal."
"What type of gloves are illegal?

<i>Rule 1 | Section 11 | Article 1</i>",Any gloves which have any type of webbing between the digits are illegal.
"What is the penalty for wearing illegal equipment (General a), b), f), g))?

<i>Rule 1 | Section 11 | Article 1</i>",The offending player shall be removed from the game until the illegal equipment is replaced or the score sheet is corrected.
"What is the penalty for violating mandatory equipment requirements (c))?

<i>Rule 1 | Section 11 | Article 1</i>","Loss of 5 yards from the point where the ball would have been put into play, or added to another penalty. The offending player is removed until illegal equipment is replaced. Immediate substitution is made without delay. If multiple players offend on the same play, only 1 penalty L5 is applied per play."
"What is the penalty for illegal adhesive materials, slippery substances, or gloves with webbing (d), e))?

<i>Rule 1 | Section 11 | Article 1</i>","For Team A: 1st/2nd down - Loss of 10 yards, Down Repeated (L10 DR); 3rd down - Loss of 10 yards, Down Not Gained (L10, DNG-LB PBD). For Team B: Loss of 10 yards, Play Last Scrimmage (L10 PLS). The offending player is removed until the illegal item is removed. Immediate substitution is made without delay. If multiple players offend on the same play, only 1 penalty L10 is applied per play."
"What type of helmets and facemasks are permitted?

<i>Rule 1 | Section 11 | Article 2</i>",Only helmets and facemasks approved by the National Operating Committee on Safety in Athletic Equipment (NOCSAE) shall be worn by players.
"What is the requirement for visors?

<i>Rule 1 | Section 11 | Article 2</i>","All visors must be clear, not tinted, and no medical exceptions are allowed."
"When must a player wear their helmet?

<i>Rule 1 | Section 11 | Article 2</i>",A player shall be required to wear the helmet while in bounds and shall not voluntarily remove it while the play is in progress.
"What is the penalty for violating helmet and facemask rules (a, b, c, d)?

<i>Rule 1 | Section 11 | Article 2</i>","The offending player shall be removed from the game until the situation is corrected, and the offending team is assessed a 10-yard penalty PBD."
"What happens if a player's helmet involuntarily comes off during play, not as a result of a foul?

<i>Rule 1 | Section 11 | Article 2</i>",The player shall be required to leave the game for 3 plays.
"What must a player do if they lose their helmet during play?

<i>Rule 1 | Section 11 | Article 2</i>",The player must stop participating in the play.
"What is the penalty for a player who loses their helmet and continues to participate in the play?

<i>Rule 1 | Section 11 | Article 2</i>",Loss of 10 yards Play Before Dead Ball (PBD) or Play Before Holding (PBH).
"How is hitting a player who has lost their helmet ruled?

<i>Rule 1 | Section 11 | Article 2</i>",Unnecessary Roughness.
"What type of mouthguard is required?

<i>Rule 1 | Section 11 | Article 3</i>","A player shall wear an intra-oral mouth and tooth protector, which includes an occlusial portion and an optional labial portion. It is recommended to be custom-fitted or fitted by impressing teeth into it."
"What is the penalty for a first infraction of not wearing a mouthguard properly?

<i>Rule 1 | Section 11 | Article 3</i>",The Referee shall clearly warn the offending player that the mouthguard must be in the proper position while participating.
"What is the penalty for a second or subsequent infraction of not wearing a mouthguard properly?

<i>Rule 1 | Section 11 | Article 3</i>","Loss of 5 yards from the point where the ball would have been put into play. The player shall be removed until properly equipped, with immediate substitution allowed."
"What are the specifications for acceptable cleated shoes?

<i>Rule 1 | Section 11 | Article 4</i>","A minimum of 7 cleats per sole with a minimum cleat tip diameter of 3/16 inch (4.8 mm). Additional cleats may have a lesser tip diameter, provided the maximum length is 1/2 inch (12.7 mm). The maximum cleat length is 1/2 inch (12.7 mm)."
"What types of cleats are illegal?

<i>Rule 1 | Section 11 | Article 4</i>","Cleats made of metal or with a metal tip, or made of any material that burrs, chips, or fractures, are illegal."
"What is the penalty for illegal footwear?

<i>Rule 1 | Section 11 | Article 4</i>","Loss of 5 yards from the point where the ball would have been put into play, or added to the penalty for any other foul. If more than 1 player offends on the same play, only 1 penalty L5 will be applied. The offending player is removed until illegal equipment is replaced, with immediate substitution and no game delay."
"What must the head coach or designated representative certify to the umpire before the game?

<i>Rule 1 | Section 11 | Article 5</i>","They must certify that all players have been informed of mandatory and illegal equipment, provided with mandatory equipment, instructed on how to wear it, and instructed to notify coaching staff if equipment becomes illegal during the game."
"What are the specifications for the distance chain?

<i>Rule 1 | Section 11 | Article 6</i>","Two rods connected by a chain exactly 10 yards (10 metres) long. Rods must be wood or aluminum, at least 6 feet (1.8 metres) high, preferably with a distinctive marking device at the top."
"What are the specifications for the downsbox?

<i>Rule 1 | Section 11 | Article 6</i>","A wooden or aluminum post with plates or a box numbered 1 to 3, with numbers at least 10 inches (25 cm) high and clearly visible to all officials and players."
"What is the pre-game requirement for all players concerning registration?

<i>Rule 1 | Section 12 | Article 1</i>",All players must be registered by name and number with the scorer prior to the start of the game.
"What is the penalty if an offending player is not registered according to the rule?

<i>Rule 1 | Section 12 | Article 1</i>","The offending player shall be removed from the game until the score sheet has been corrected. An immediate substitution will be made, but the game shall not be delayed."
"Are scores made by a non-registered player considered legal?

<i>Rule 1 | Section 12 | Article 1 Note 1</i>","Yes, any score made by a non-registered player is legal, provided the player is then registered on the score sheet."
"When may substitutes enter the field of play?

<i>Rule 1 | Section 12 | Article 2a</i>",Substitutes may enter the field of play only when the ball is dead.
