front,back
"How far apart are the vertical goal posts, and where are they centered?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>",The two vertical goal posts are 18 feet 6 inches (5.64 metres) apart and centred on the goal line.
"How high is the crossbar’s upper edge above the ground?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>",The crossbar joining the goal posts has its upper edge 10 feet (3.05 metres) above the ground.
"What minimum height above the ground are goal posts required to be?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>","For safety, the goal posts must be at least 20 feet (6.1 metres) above the ground level."
"Where can the base of the goal post be located relative to the goal line?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>",The base of the goal post can be up to 110 inches (279.4 cm) behind the goal line.
"Who is responsible for providing goal post padding, and what must be true for safety?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>",The home team is responsible for providing the padding; all goal posts must be properly padded with goal post pads meeting manufacturer’s specifications.
"In a neutral field, who decides which team provides the goal post padding?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>","On a neutral field, the participating teams decide which team is responsible for padding the goal posts."
"Are goal posts on the goal line considered part of the end zone?

<i>Rule 1 | Section 1: The Field | Article 9 – Goal Post Assembly</i>",Yes—goal posts on the goal line are considered to be part of the end zone.
"Under what condition may a field use non-regulation boundary placement, and what spacing rule must be followed?

<i>Rule 1 | Section 1: The Field | Article 10 – Non-Regulation Fields</i>","When the length or width is less than regulation due to running tracks or other obstructions, clear boundary lines must be provided at least 1 foot (0.3 metres) inside the track or obstruction."
"If an end zone is shorter than required and enclosed by a track, how must the dead line and end zone sideline be marked?

<i>Rule 1 | Section 1: The Field | Article 10 – Non-Regulation Fields</i>",The dead line and end zone sideline must be clearly marked at least 1 foot (0.3 metres) inside the curb.
"What qualifies as a “play” under this rule?

<i>Rule 1 | Section 1: The Field | Article 11 – Play</i>","A play is any legally run scrimmage play (run, pass, kick), a convert attempt, or a kick-off, during both regulation time and overtime."
"What is the required construction and inflation pressure range for the four-panel ball?

<i>Rule 1 | Section 2: The Ball | Article 1 – Description</i>","The ball is a four-panel ball made of pebbled grain leather, enclosing a rubber bladder, tightly inflated to not less than 12 1/2 lbs (85 kPa) and not more than 13 1/2 lbs (95 kPa)."
"What shape and axis dimensions are required for the ball’s prolate spheroid?

<i>Rule 1 | Section 2: The Ball | Article 1 – Description</i>",It shall be in the shape of a prolate spheroid. The circumference of the long axis shall be from 27 3/4 to 28 1/2 inches (700–725 mm); the circumference of the short axis from 20 3/4 to 21 3/8 inches (525–540 mm). The length of the long axis shall be from 10 7/8 to 11 7/16 inches (275–290 mm).
"What weight range must the ball meet?

<i>Rule 1 | Section 2: The Ball | Article 1 – Description</i>",The ball must weigh from 14 to 15 ounces (400–425 grams).
"Who provides the ball(s) for the game, and whose decision determines whether the ball is suitable?

<i>Rule 1 | Section 2: The Ball | Article 1 – Description</i>",The Home Team shall provide a league approved ball or balls. The decision of the Referee is final as to the suitability of the ball.
"Under what condition must the ball be a natural tan color, and under what condition must its color be chosen for visibility?

<i>Rule 1 | Section 2: The Ball | Article 2 – Day and Night Games</i>","For day games, the ball shall be of a natural tan in colour. For night games, the ball must be of such colour as will make it clearly visible."
"What uniform-matching restriction applies to the ball’s color in both day and night games?

<i>Rule 1 | Section 2: The Ball | Article 2 – Day and Night Games</i>","In both day and night games, the colour of the ball shall, in no way, closely blend with the colour of the uniforms of the competing teams."
"On wet days, how many balls should be available and how may they be used?

<i>Rule 1 | Section 2: The Ball | Article 3 – Wet Day Procedure</i>","On wet days, it is recommended that at least three balls be available, which may be changed at the discretion of the Referee."
"What assistance is suggested on wet days to keep balls clean and dry?

<i>Rule 1 | Section 2: The Ball | Article 3 – Wet Day Procedure</i>","It is suggested that “ball persons” be used, one on either side of the field, to keep the balls as clean and dry as possible."
"How many total minutes of actual playing time are played in a standard game, and how is it divided into periods?

<i>Rule 1 | Section 3: The Game | Article 1 – Length of Game</i>","The game consists of 60 minutes of actual playing time, divided into 4 periods of 15 minutes each."
"For players at the High School level or equivalent and below, how long is actual playing time and how is it divided?

<i>Rule 1 | Section 3: The Game | Article 1 – Length of Game</i>","48 minutes of actual playing time, divided into 4 periods of 12 minutes each."
"At the start of the game, what procedure determines which captain has first choice for kickoff/receiving/defending an end?

<i>Rule 1 | Section 3: The Game | Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field</i>","The captain of the visiting team, or the team winning the coin toss, declares whether to have first choice at the start of the first or second half."
"When a team captain has first choice at the start of the first half, what options are available, and how does the other captain’s choice differ?

<i>Rule 1 | Section 3: The Game | Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field</i>","First choice includes: (1) Kicking Off, (2) Receiving the kick off, or (3) Defending an end of the field. The other captain then has the option of the remaining 1 or 2 choices."
"How does the choice procedure change at the start of the 3rd period?

<i>Rule 1 | Section 3: The Game | Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field</i>","At the start of the 3rd period, the procedure shall be reversed."
"After a touchdown, who has the choice, and what are the two options?

<i>Rule 1 | Section 3: The Game | Article 2 – Choice of Kick Off, Receiving Kick Off, or End of Field</i>","After a touchdown, the captain of the team scored against has the choice of kicking off, or receiving the kick off."
"When do teams change ends of the field?

<i>Rule 1 | Section 3: The Game | Article 3 – Change of End</i>","At the end of the 1st and 3rd periods, the teams shall change ends."
"How is the ball put into play at the start of the 2nd and 4th periods relative to when it became dead at the end of the previous period?

<i>Rule 1 | Section 3: The Game | Article 3 – Change of End</i>","At the start of the 2nd and 4th periods, the ball is put into play at a point corresponding exactly to where the ball became dead at the opposite end, and in exactly the same manner as if play had not been interrupted by the end of the previous period."
"How long is the rest period at halftime, and what flexibility is allowed?

<i>Rule 1 | Section 3: The Game | Article 4 – Half Time</i>","At the end of the 2nd period, a 20-minute rest period shall be allowed, or such other rest period as the league shall decide."
"What penalty applies if a team is late appearing on the field at the start of the 1st or 3rd period?

<i>Rule 1 | Section 3: The Game | Article 5 – Late Start</i>",Penalty – L10. No option.
"Who decides the procedure to break a tie after the end of the 4th period, and what must be communicated in advance?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>","The governing football association decides the procedure, considering athlete safety as prime importance. Any procedures must be communicated in writing to both teams and to the Referee prior to the game."
"If no tie-breaking regulations have been prepared, what are the officials required to do immediately after the fourth quarter?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>","Immediately after the conclusion of the fourth quarter, officials instruct both teams to retire to their respective team areas. Officials then assemble at center field and review the tie-breaking procedure."
"In the no-prepared-regulations tie procedure, what does the coin toss determine first extra period option-wise?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>","Officials escort captains to the center of the field for the coin toss. The toss winner chooses one of: (1) Offense or defense (offense at the opponent’s 35-yard line to start), or (2) Which end of the field shall be used for the overtime period. The toss loser exercises the remaining option for the first extra period."
"Under the no-prepared-regulations overtime rules, how is possession placed and where can teams snap to put the ball in play?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>","An extra period provides each team the opportunity to put the ball in play by a snap, on or between the hash marks of the opponent’s 35-yard line (except if Team B scores during a Team A possession)."
"In an extra period, when does the ball remain alive after a change of team possession?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>",The ball remains alive after a change of team possession until it is declared dead.
"How is the winner determined during overtime, and what changes if the score remains tied after three extra periods?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>","The team scoring the greater number of points during an extra period wins. If still tied after three extra periods, any subsequent touchdown must be followed by a two-point conversion."
"Are team time-outs allowed during overtime play under the no-prepared-regulations procedure?

<i>Rule 1 | Section 3: The Game | Article 6 – Tie Game</i>",No—there shall be no team time-outs during overtime play.
"How many players may each team have on the field at any one time?

<i>Rule 1 | Section 4: Teams | Article 1 – Teams</i>",Each team consists of 12 players on the field at any one time.
"In Approved Rulings in the Case Book, how are the teams identified when a team puts the ball into play?

<i>Rule 1 | Section 4: Teams | Article 2 – Team Designation</i>","The team which puts the ball into play shall be identified as Team A, and the other team as Team B."
"What requirement must each team meet regarding the captain, and how is the captain identified to officials?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>","At all times, each team shall have on the field a player designated as captain, and so identified to the officials."
"Who is allowed to communicate between the team and the officials, and what limitation applies to that communication?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>","The captain is the sole communicator between the team and the officials (through the Referee), and no prolonged argument is to be allowed; the Referee’s decision cannot be disputed."
"What penalty applies if a player (or anyone on the bench) comments to benefit the officials?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>","Commenting by a player, or any occupant of the bench, for the supposed benefit of the officials shall be penalized: Penalty L10. No option."
"When the Referee informs a captain of a choice (e.g., kickoff start of a half or after a touchdown/field goal), what happens after the choice is communicated or made?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>","After the choice on a kick off has been communicated to the opponents by the Referee, the choice may not be revoked. After the choice of penalty or option has been made, the choice may not be revoked."
"Under what condition may the Referee decline a request for a measurement about whether a first down was made?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>",The Referee may decline a request for a measurement if satisfied beyond all reasonable doubt that a first down has or has not been made.
"When distance chains are called to determine whether a first down was made, who is permitted to be near the measurement?

<i>Rule 1 | Section 4: Teams | Article 3 – Team Captains</i>",Only the on-field captain of each team shall be permitted in the vicinity of the measurement.
"When does the game clock/time start according to the timing rules after a kickoff?

<i>Rule 1 | Section 5: Timing | Article 1 – Time Starts</i>","Time shall start on the signal of the Referee when, following a kick off, the ball touches or is touched by a player of either team in bounds."
"Under what condition does time start immediately due to an improper play timing cue (e.g., after a time count foul or timeout for crowd noise)?

<i>Rule 1 | Section 5: Timing | Article 1 – Time Starts</i>","Time shall start when the ball is snapped after a “time count” foul, or after a timeout due to the noise of the crowd."
"After the 3-minute warning, what situations can cause the ball to be snapped (and time to start) immediately?

<i>Rule 1 | Section 5: Timing | Article 1 – Time Starts</i>","Time starts when the ball is snapped following (1) an incomplete forward pass or a ball carried out of bounds after the 3-minute warning in any half; (2) a play in which possession changes after the 3-minute warning (including after a score of 1 or 3 points when the ball is put into play by a scrimmage); (3) a play immediately following a kick off, a kick from scrimmage, a return kick, or an open field kick after the 3-minute warning; or (4) after penalty application for a foul that occurs after the 3-minute warning (with the non-offending team allowed to decline the penalty and resume as though no foul occurred)."
"What events cause time to stop on the signal of a field official?

<i>Rule 1 | Section 5: Timing | Article 2 – Time Stops</i>","Time shall stop when: (a) a score has been made and throughout any convert attempt; (b) a live ball goes out of bounds; (c) a forward pass is incomplete; (d) penalty application is required; (e) three or more players from either team substitute at the same time; (f) player injury occurs (time stops after the ball is dead and the injured player must be replaced); (g) time expires at the end of a period; (h) the ball becomes dead after the three-minute warning signal in any half; (i) any field official recognizes a request for a time out; (j) the Referee suspends play (defective equipment, measurements, etc.); (k) a play ends in which Team B has gained possession at some point during the play; or (l) termination of all kick plays occurs."
"If the ball becomes dead with only a short time remaining in a period, what does the team in possession get?

<i>Rule 1 | Section 5: Timing | Article 3 – End of Period</i>","The team in possession is entitled to one complete play, even though that play may extend beyond the normal termination of that period."
"When is a period extended after a legally scored touchdown on the last play?

<i>Rule 1 | Section 5: Timing | Article 3 – End of Period</i>","If the last play is a legally scored touchdown, the period will be extended for the convert attempt following the touchdown, ending when the ball is declared dead on the convert without a foul; if a foul occurs, see Rule 1, Section 5, Article 6."
"How many time outs does each team have per half, and how long is each time out?

<i>Rule 1 | Section 5: Timing | Article 4 – Time Out</i>","Each team is entitled to two time outs in each half, and each time out is 1 minute long."
"From when can a team request a time out, and when may a team no longer keep players near the bench?

<i>Rule 1 | Section 5: Timing | Article 4 – Time Out</i>","A time out may be requested from the time the ball becomes dead until it is put into play. After a time out (and any conference with the coaches), Team A players must not remain in close proximity to their bench; they must return to their huddle (or move clearly away from the bench area if not using a huddle) or be penalized for illegal procedure."
"Under what score difference and timing condition does the mercy rule apply, and what exceptions keep the clock from running?

<i>Rule 1 | Section 5: Timing | Article 5 – Mercy Rule</i>","Any time after the first half, if the difference in score becomes 35 points or more, the clock will be running time for the remainder of the game, except for injuries, scores, timeouts, or any reason the Referee deems necessary to stop the clock. When the clock is stopped, it will re-start based on rule 1-5-1."
"Does the mercy rule apply at U Sport and CJFL levels?

<i>Rule 1 | Section 5: Timing | Article 5 – Mercy Rule</i>",No. The mercy rule does not apply for U Sport and CJFL levels.
"What does it mean for a player to be in possession of the ball?

<i>Rule 1 | Section 6: Possession | Article 1 – Player Possession</i>","A player is in possession when the ball is firmly held in the hand or hands, arm or arms, leg or legs, or under the body."
"When players of opposite teams have possession at the same time, who does the ball belong to?

<i>Rule 1 | Section 6: Possession | Article 2 – Disputed Possession</i>",It belongs to the player who first gained possession and has not lost possession.
"If players of opposite teams legally gain simultaneous possession, who gets possession?

<i>Rule 1 | Section 6: Possession | Article 3 – Simultaneous Possession</i>",It belongs to the team which last previously had possession.
"If an eligible forward pass is caught simultaneously by receivers of both teams, who gets the ball?

<i>Rule 1 | Section 6: Possession | Article 3 – Simultaneous Possession</i>",The ball shall belong to Team A (Rule 6-4-6-c).
"On a kickoff legally caught simultaneously by players of opposite teams, how do you decide possession based on whether the ball was touched before the simultaneous catch?

<i>Rule 1 | Section 6: Possession | Article 3 – Simultaneous Possession</i>","- If caught before it has been touched by any other player after the kickoff: kickoff repeated at the previous line of kickoff.
- If caught after it has been legally touched by another player (or players): possession to the team which last touched it before the simultaneous possession."
"In a scrimmage play, when does possession remain with Team A and when does it change to Team B?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Team A is in possession until it loses possession (e.g., fumble, blocked kick). Team B is in possession when a B player gains possession. Until either team gains possession, the ball is a «loose ball.»"
"On a forward pass, when is Team A in possession and when does Team B take possession?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Team A is in possession until the pass is ruled incomplete, or the ball is intercepted by Team B. Team B is in possession when a B player intercepts the pass."
"On a scrimmage kick, when does possession change and what is the ball called before possession changes?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Team A is in possession until the ball is kicked. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is in neither team’s possession and is a ball «in flight.»"
"On a return kick, when is Team B in possession and what is the status of the ball before either team regains possession?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Team B is in possession until the B player has kicked the ball, which is then «in flight» until either Team A or Team B regains possession."
"During a kickoff, which team is in possession before the kick, and when does possession change?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Neither team is in possession prior to the kick off. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is in neither team’s possession and is a ball «in flight.»"
"If a kicked ball other than a kickoff is legally touched by a player, how is that touching treated when determining possession for penalty applications?

<i>Rule 1 | Section 6: Possession | Article 4 – Change of Possession</i>","Such touching shall be deemed to be possession when penalty applications are involved, with determination of before loose ball/ball in flight and after change of possession."
"When is the ball considered in play?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>",The ball is in play when it has been put into play by a kick off or scrimmage until a field official stops play by sounding the whistle.
"What happens if the ball strikes an official who is not out of bounds?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>","The ball remains in play when it strikes an official who is not out of bounds, except on a forward pass."
"Under what condition is a ball in play when it is on the ground?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>",A ball is in play when it is on the ground not in possession of a player.
"When is a ball held for a place kick still considered in play?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>","A ball is in play when it is held in position by a player for the purpose of making a place kick, except on a kick off."
"If a forward pass is intercepted in the end zone, what is the status of the ball?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>",A forward pass intercepted by a player in their end zone results in the ball being in play.
"Which kicking/passing scenarios keep the ball in play involving the goal post assembly?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>","The ball is in play when a dribbled ball hits the goal post assembly; a kicked ball hits the goal post assembly after striking the ground, a player, or official, or after being kicked from the end zone; or a lateral pass hits the goal post assembly."
"When may the play be stopped due to player injury and/or penalties?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","The play shall not be stopped because of player injury, or to impose a penalty until the ball is dead."
"Is delay allowed for player injury, and who may authorize exceptions?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","No delay shall be allowed for player injury (or any other reason), except by permission of a field official."
"What is the penalty for unauthorized delay due to injury or other reasons?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","Penalty for unauthorized delay is L10, no option."
"What time out allowance does the Referee provide for medical attention or bleeding-related equipment, and are teams charged time outs?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","To avoid penalizing teams unduly, the Referee will call an official time out of no more than two (2) minutes for medical attention and/or care of equipment related to bleeding; neither Team is charged with a time out."
"When does the ball become dead due to the end of play being signaled by officials?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>",The ball becomes dead when a field official blows the whistle to end play (NOTE 4).
"Under what conditions does the ball become dead when it goes beyond the field of play or related possession limits?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","The ball becomes dead when the ball, or a player with possession of the ball, goes out of bounds (NOTE 4)."
"What scoring event causes the ball to become dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>",Any score is made.
"When is a tackled/held ball carrier considered to have resulted in a dead ball?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","The ball becomes dead when the ball carrier is tackled, held and the forward progress has been halted (See Notes 1, 2, 3)."
"When does a forward pass cause the ball to become dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","A forward pass is declared incomplete, or it strikes a game official, the goal post assembly, downs box marker or distance chain rod."
"Under what conditions related to possession prior to a kickoff does the ball become dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","It is in possession of a player lying on the ground or is being held by a player for a kick off, prior to the kick off."
"If a kick hits the opponent’s goal post assembly in flight without touching the ground, player, or official, when is the play whistled dead and when does the ball remain alive on field goal/convert attempts?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","If the ball strikes the opponent’s goal post assembly in flight from a punt, return kick, place kick or kick off without touching the ground, a player or an official after being kicked, and the kick originated in the field of play, then the play shall be whistled dead. However, on a field goal or convert attempt, the ball will remain alive until the score is made or missed."
"What part of a ball carrier touching the ground makes the ball dead, and at what point is it declared dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","Any part of a ball carrier, other than hands or feet, touches the ground—even without contact by an opponent. The ball shall be declared dead AT THE POINT WHERE IT WAS HELD when the ball carrier touched the ground. Exception: The ball is not dead when a player is holding the ball for a field goal or convert attempt."
"If the ball carrier falls on a player who is on the ground, where is the ball declared dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","The ball shall be declared dead at that point, except if they are in the close line play area."
"When does the ball become dead immediately regarding a ball carrier’s helmet?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>",Immediately if ball carrier loses their helmet.
"When does simulating or faking a slide cause the ball to become dead?

<i>Rule 1 | Section 8: Dead Ball | Article 1</i>","A ball carrier begins, simulates, or fakes a foot-first slide."
"When a ball carrier is tackled and driven back toward their own goal line, how is the forward point of the dead ball determined?

<i>Rule 1 | Section 8: Dead Ball | Article 1 Note 1</i>","It is assumed the ball carrier was attempting to advance, and only the opponent’s contact prevented the advance. Therefore, the most forward point of advance is considered to be the point where the ball became dead."
"If the contacted ball carrier breaks the tackle, tries to advance, and retreats toward their own goal line, where is the dead-ball point determined?

<i>Rule 1 | Section 8: Dead Ball | Article 1 Note 2</i>",The point of advance where the ball becomes dead is considered as the point at which the ball carrier is subsequently held.
"If a player is driven back into their end zone by contact but is not held, can they continue advancing, and what happens if the ball goes dead in possession in the end zone?

<i>Rule 1 | Section 8: Dead Ball | Article 1 Note 3</i>","If the player is contacted so the force drives them back into their end zone but they are not held, the player is still free to advance the ball. If the ball subsequently goes dead in their end zone, in the team’s possession, without having again left the end zone, the defending team shall be awarded 1 or 2 points, as applicable. If the ball is subsequently carried out of the end zone, the forward point of advance will be the point where the ball becomes dead."
"When the whistle is blown inadvertently and a team is in possession, what two options does that team have?

<i>Rule 1 | Section 8: Dead Ball | Article 1 Note 4</i>","With a team in possession, the team in possession shall have the choice to: (i) cancel the current play and repeat it where it began (PLS or kick-off) OR (ii) have the play terminate at the PBH when the whistle was blown; downs continue if distance not gained."
"If the whistle is blown inadvertently while a pass is in the air on a pass play, what is the repeat spot option?

<i>Rule 1 | Section 8: Dead Ball | Article 1 Note 4(1) Note</i>","If in air on a pass play, repeat from PLS no option."
"When is the ball considered to be in the End Zone (including cases where it is not fully on the ground)?

<i>Rule 1 | Section 9: End Zone | Article 1 – Definition</i>","The ball is in the End Zone when any part of the ball is on, or behind, the goal line—even in the air."
"Under what condition is the ball in the End Zone based on touching the goal line?

<i>Rule 1 | Section 9: End Zone | Article 1 – Definition</i>",The ball is in the End Zone when any part of the ball touches the plane of the goal line.
"Under what condition is the ball NOT in the End Zone?

<i>Rule 1 | Section 9: End Zone | Article 1 – Definition</i>","The ball is not in the End Zone when the whole ball is completely ahead of the goal line, or the plane of the goal line."
"When is the ball considered out of bounds?

<i>Rule 1 | Section 10: Out of Bounds | Article 1 – Definition</i>","The ball is out of bounds when it touches any boundary line, or the ground or any object on or beyond these lines, including an official, any player, or substitute."
"Under what condition does a player in possession going out of bounds not make the ball out of bounds?

<i>Rule 1 | Section 10: Out of Bounds | Article 1 – Definition</i>",It is only an out-of-bounds situation for the ball if the player touches any boundary line or the ground/objects beyond these lines—except when the ball carrier is fully in bounds and the only out-of-bounds touch is by a field official or another player who is out of bounds.
"When the ball is carried out of bounds on the field of play, where does possession go (and what changes on third down)?

<i>Rule 1 | Section 10: Out of Bounds | Article 2 – Carried Out of Bounds</i>",It belongs to the team carrying it out of bounds at the point where the ball crossed the line before it went out of bounds—except on third down when the required distance has not been gained.
"What team gains possession when the ball is kicked out of bounds on the field of play?

<i>Rule 1 | Section 10: Out of Bounds | Article 3 – Kicked Out of Bounds</i>","It belongs to the opposite team, subject to the option of penalty applicable on the play."
"What happens when a player kicks the ball out of bounds in their own end zone?

<i>Rule 1 | Section 10: Out of Bounds | Article 3 – Kicked Out of Bounds</i>","It results in a score of 1 or 2 points, unless the ball is in the end zone from a forward pass intercepted in the end zone, or as a result of a fumble into the end zone by an opponent."
"When a forward pass is thrown out of bounds, who keeps possession (and what exception applies on third down)?

<i>Rule 1 | Section 10: Out of Bounds | Article 4 – Forward Pass Thrown Out of Bounds</i>","Possession remains with the passing team, except on third down when the required distance has not been gained."
"What equipment restrictions apply if a player’s gear could injure an opponent, and what action can the Referee take?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(a) – General</i>","No player shall wear equipment of any kind which may injure the opponent. The Referee may remove from the game any player wearing equipment which, in the Referee’s opinion, endangers a participant."
"Under what condition are team uniforms illegal, and what must be true about jersey numbers?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(b) – General</i>",Teams must not wear uniforms that blend closely with the color of the ball. Uniforms must have numbers that are easy to identify.
"What is mandatory protective equipment that all players must wear under this section?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(c) – Mandatory equipment</i>","Knee protection; thigh guards; hip pads with tailbone protector; shoulder pads; mouthguard covering all upper jaw teeth; shoes meeting the specifications of Article 4 of this section (or acceptable lower-fixation alternatives noted). Also: items 1,2,3,4 and all Back Plates and Rib Protectors must be covered by pants or jersey except for the specified snap-in soft foam hip/tail pad system."
"What limitations apply to knee protection, specifically regarding straps and closure types?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(c)1 – Knee protection</i>","Knee protection must be either soft padding entirely captured within continuous material or designed for and insertable in football pants. Knee protection cannot include any strap featuring a buckle, Velcro, clip, or strap that could become unfastened during play."
"When must Back Plates and Rib Protectors be covered by the pants or jersey, and what exception is allowed?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(c)7 – Coverage requirement</i>","Items 1, 2, 3, 4 including all Back Plates and Rib Protectors must be covered by the pants or jersey, except for players wearing a snap-in soft foam hip and tail pad system."
"What is illegal regarding adhesive material, grease, or slippery substances applied to a player?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(d) – Illegal substances</i>","Adhesive material, grease, or any other slippery substance applied on a player’s person or clothing that affects the ball or an opponent is illegal."
"What glove design is prohibited?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(e) – Gloves</i>",Any gloves that have webbing between the digits are illegal.
"When can a player change jersey numbers, and what must be reported if a sweater is torn?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(f) – Numbers</i>","Players must conform to the numbers listed on the score sheet and must retain the same numbers throughout the game except when permission to change is given by the Referee. If a sweater is torn, the Referee shall allow reasonable time for a substitution, but any change in number must be reported to the scorer."
"What is illegal about team jerseys under this rule?

<i>Rule 1 | Section 11 – Uniform & Equipment | Article 1(g) – Illegal jerseys</i>",It is illegal to tie or knot team jerseys.
