front,back
"When does the game clock start on the referee’s signal (list the conditions)?

<i>Rule 1 – Conduct of the Game | Section 5: Timing | Article 1 – Time Starts</i>","Time shall start on the signal of the Referee when: (a) after a kickoff the ball touches/touched by a player of either team in bounds; (b) the ball is ready to be scrimmaged; (c) the ball is snapped after a “time count” foul, or after a timeout due to the noise of the crowd; (d) the ball is snapped following a requested time out; (e) the ball is snapped following an incomplete forward pass, or the ball being carried out of bounds, after the 3 minute warning signal in any half; (f) the ball is snapped immediately following a play where possession changes after the 3 minute warning in any half (including change after a score of 1 or 3 points when put into play by scrimmage); (g) the ball is snapped on a play immediately following a kickoff/kick from scrimmage/return kick/open field kick after the 3 minute warning in any half; (h) the ball is snapped after penalty application for a foul that occurs after the 3 minute warning in any half (non-offending team may decline the penalty and permit time to resume as though no foul occurred); (i) following a time out or after the 3 minute warning, when the game clock is held from the previous play and play is stopped for a procedural penalty by either team—the game clock shall be held until the snap whether yardage is accepted or not."
"When does time stop on the signal of a field official (list the conditions)?

<i>Rule 1 – Conduct of the Game | Section 5: Timing | Article 2 – Time Stops</i>","Time shall stop on the signal of a field official when: (a) a score has been made and throughout any convert attempt; (b) a live ball goes out of bounds; (c) a forward pass is incomplete; (d) penalty application is required; (e) three or more players from either team substitute at the same time; (f) player injury occurs (time stops after the ball is dead and the injured player must be replaced); (g) time expires at the end of a period; (h) the ball becomes dead after the three-minute warning signal in any half; (i) any field official recognizes a request for a time out; (j) the referee suspends play (defective equipment, measurements, etc.); (k) a play ends in which Team B has gained possession at some point during the play; (l) termination of all kick plays occurs."
"If the ball becomes dead with only a short time remaining in a period, what advantage does the possession team get?

<i>Rule 1 – Conduct of the Game | Section 5: Timing | Article 3 – End of Period</i>","If in any period, the ball becomes dead with only a short period of time remaining, the team in possession is entitled to one complete play even though that play may extend beyond the normal termination of that period."
"Under the mercy rule, when does the clock run running time, and what exceptions prevent stopping?

<i>Rule 1 – Conduct of the Game | Section 5: Timing | Article 5 – Mercy Rule</i>","Any time after the first half, if the difference in score becomes 35 points or more, the clock will be running time for the remainder of the game, except for injuries, scores, timeouts, or any reason the referee deems necessary to stop the clock. When the clock has been stopped, it will re-start based on rule 1-5-1. (Note: mercy rule does not apply for U Sport and CJFL levels.)"
"When is a player considered to be in possession of the ball?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 1 – Player Possession</i>","A player is in possession of the ball when it is firmly held in the hand(s), arm(s), leg(s), or under the body."
"In a disputed situation where players of opposite teams have possession, who is awarded possession?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 2 – Disputed Possession</i>",It belongs to the player who first gained possession and has not lost possession.
"If players of opposite teams legally gain simultaneous possession, how is possession awarded?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 3 – Simultaneous Possession</i>",It belongs to the team which last previously had possession.
"When a forward pass is caught simultaneously by eligible receivers of both teams, which team is awarded the ball (per the rule cross-reference)?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 3 – Simultaneous Possession</i>",The ball shall belong to Team A (Rule 6-4-6-c).
"On a kickoff legally caught simultaneously by players of opposite teams, how is possession determined based on whether it was touched before the simultaneous catch?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 3 – Simultaneous Possession</i>","If caught simultaneously before it has been touched by any other player after the kickoff, the kickoff is repeated at the previous line of kick off. If it has been legally touched by another player (or players), possession goes to the team which last touched it before the simultaneous possession."
"Under a scrimmage play, when does possession stay with Team A vs. switch to Team B? What is the ball called if neither team has it?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession</i>","Team A is in possession until it loses possession (e.g., fumble, blocked kick). Team B is in possession when a B player gains possession. Until Team A or Team B gains possession, the ball is in neither team’s possession and is a “loose ball.”"
"On a forward pass, when does possession remain with Team A and when does it change to Team B?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession</i>",Team A is in possession until the pass is ruled incomplete or the ball is intercepted by Team B. Team B is in possession when a B player intercepts the pass.
"For a scrimmage kick, when does possession belong to Team A, when does it belong to Team B, and what is the ball called while neither team has possession?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession</i>","Team A is in possession until the ball is kicked. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is in neither team’s possession and is a “ball in flight.”"
"For a return kick, when does Team B have possession and what happens to the ball between kicks and regaining possession?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession</i>","Team B is in possession until the B player has kicked the ball, which is then “in flight” until either Team A or Team B regains possession."
"For the kickoff, who has possession before the kick, and how is possession determined afterward before either team regains it?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession</i>","Neither team is in possession prior to the kick off. Team B is in possession when a B player gains possession. Until Team B or Team A gains possession, the ball is in neither team’s possession and is a “ball in flight.”"
"What special possession/timing provision applies when a kicked ball other than a kickoff is legally touched by a player?

<i>Rule 1 – Conduct of the Game | Section 6: Possession | Article 4 – Change of Possession (Note)</i>","If a kicked ball other than a kickoff is legally touched by a player of either team, such touching shall be deemed to be possession when penalty applications are involved with before change of possession, loose ball, ball in flight, or after change of possession."
"When is the ball considered “in play” from the moment it’s put into action?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>",The ball is in play from when it has been put into play by a kick off or scrimmage until a field official stops play by sounding the whistle.
"Does the ball remain in play if it strikes an official or goes loose?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>","Yes. The ball is in play if it strikes an official who is not out of bounds (except on a forward pass), if it is on the ground not in possession of a player, and if an offside pass is made and/or the ball goes loose."
"Under what goal-post or end-zone contact situations is the ball in play?

<i>Rule 1 | Section 7: Live Ball | Article 1 – Ball in Play</i>","The ball is in play if a dribbled ball hits the goal post assembly; a kicked ball hits the goal post assembly after striking the ground, a player, or official, or after being kicked from the end zone; or a lateral pass hits the goal post assembly."
"When may play be stopped for a player injury or to impose a penalty?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","Play shall not be stopped because of player injury, or to impose a penalty, until the ball is dead."
"How is delay handled for player injury, and what is the penalty for unauthorized delay?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","No delay shall be allowed for player injury, or for any other reason, except by permission of a field official. Unauthorized delay is penalized: L10, no option."
"What happens if medical attention is needed due to injury or equipment related to bleeding?

<i>Rule 1 | Section 7: Live Ball | Article 2 – Injury Stoppage</i>","To avoid penalizing teams unduly, the Referee will call an official time out of no more than two (2) minutes for medical attention and/or care of equipment related to bleeding; neither team is charged with a time out."
"When does the ball become dead under these circumstances?

<i>Rule 1 – Conduct of the Game | Section 8: Dead Ball | Article 1</i>","The ball becomes dead when: (a) a field official blows the whistle to end play; (b) the ball or a player with possession goes out of bounds; (c) any score is made; (d) the ball carrier is tackled/held and forward progress is halted; (e) a forward pass is declared incomplete or strikes a game official/goal post assembly/downs box marker/distance chain rod; (f) it is in possession of a player lying on the ground or is being held for a kick off prior to the kick off; (g) it strikes the opponent’s goal post assembly in flight from a punt/return kick/place kick/kick off without touching the ground, a player, or an official after being kicked (with the specified field-goal/convert allowance); (h) any part of a ball carrier other than hands or feet touches the ground, with the ball dead at the point held when it touched (exception for field goal/convert hold); (i) the ball carrier falls on a player on the ground (except in the close line play area); (j) immediately when the ball carrier loses their helmet; (k) when a ball carrier begins, simulates, or fakes a foot-first slide."
"What is the exception to the dead-ball rule when the ball carrier touches the ground with something other than hands or feet?

<i>Rule 1 – Conduct of the Game | Section 8: Dead Ball | Article 1</i>",The ball is not dead when a player is holding the ball for a field goal or convert attempt.
"If the whistle is blown inadvertently while a team is in possession, what choices does that team have?

<i>Rule 1 – Conduct of the Game | Section 8: Dead Ball | Article 1 (Note 4)</i>","With a team in possession, the team in possession may choose to: (i) cancel the current play and repeat it where it began (PLS or kick-off), or (ii) have the play terminate at the PBH when the whistle was blown (downs continue if distance not gained). Note: If the whistle is blown inadvertently while the ball is in the air on a pass play, the play is repeated from PLS with no option."
"When is the ball considered to be in the End Zone?

<i>Rule 1 – Conduct of the Game | Section 9: End Zone | Article 1 – Definition</i>","The ball is in the End Zone when any part of the ball is on, or behind the goal line (even in the air), or when any part of the ball touches the plane of the goal line."
"Under what condition is the ball NOT in the End Zone?

<i>Rule 1 – Conduct of the Game | Section 9: End Zone | Article 1 – Definition</i>","The ball is not in the End Zone when the whole ball is completely ahead of the goal line, or the plane of the goal line."
"When is the ball considered out of bounds?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 1 – Definition</i>","The ball is out of bounds when it touches any boundary line, the ground, or any object on or beyond these lines (including an official, any player, or substitute)."
"Under what condition can a ball carrier touch beyond the boundary without the ball becoming out of bounds?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 1 – Definition</i>","If the player in possession touches any boundary line, the ground, or any object beyond these lines except a field official or another player who is out of bounds, while the ball carrier is fully in bounds."
"Where does the ball belong when it is carried out of bounds on the field of play (and what exception applies on third down)?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 2 – Carried Out of Bounds</i>","It belongs to the team carrying it out of bounds at the point where the ball crossed the line before going out of bounds, except on third down when the required distance has not been gained."
"Which team gets possession when the ball is kicked out of bounds on the field of play?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 3 – Kicked Out of Bounds</i>","The opposite team gets possession, subject to the option of penalty applicable on the play."
"What points can result when a player kicks a ball out of bounds in their own end zone?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 3 – Kicked Out of Bounds</i>","It results in a score of 1 or 2 points, unless the ball is in the end zone from a forward pass intercepted in the end zone, or as a result of a fumble into the end zone by an opponent."
"When does a forward pass thrown out of bounds remain with the passing team?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 4 – Forward Pass Thrown Out of Bounds</i>","It shall remain in possession of the passing team, except on third down when the required distance has not been gained."
"With the listed exceptions, which team gets the ball after a fumble out of bounds or after a ball touched by a player on the field goes out of bounds, and where is it placed?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 5 – Last Touched</i>",It belongs to the team which last touched the ball at 24 yards (22 metres) in from the sideline at whichever point is closer to the goal line of the team entitled to possession—either at the point where the ball went out of bounds or where the ball was last touched in the field of play.
"When a player fumbles directly over the opponent’s goal line and then out of bounds in the end zone without the ball touching an opponent, how is it ruled?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 6 – Into End Zone</i>","Ruled as a fumble, out of bounds, in the field of play; the ball is declared dead at the point where it was last touched in the field of play."
"What happens when a player fumbles over the opponent’s goal line and it is last touched by a teammate without gaining possession, then goes out of bounds in the end zone?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 6 – Into End Zone</i>","The ball is awarded to the team making the fumble, at the point of the original fumble."
"When is there no score and the ball awarded to the opponent after a fumble over the opponent’s goal line goes out of bounds in the end zone?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 6 – Into End Zone</i>","When the fumble is recovered by an opponent, or it is last touched by an opponent without gaining possession, and then goes out of bounds in the end zone—there is no score and the ball is awarded to the opponent at any point on or between the hash marks on the 20 yard (20 metre) line if the ball goes dead in the end zone."
"If a player fumbles or directs the ball from the field of play into their own end zone and it goes out of bounds without possession being gained by either team, what is awarded?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 6 – Into End Zone</i>",A safety touch shall be awarded.
"What score is awarded when a player fumbles the ball in their own end zone out of bounds in the end zone?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 7 – From End Zone</i>",A score of 1 or 2 points shall be awarded as applicable (with the stated exceptions noted in Note 1).
"How is it ruled when a player fumbles from their own end zone over the goal line and then out of bounds without the ball touching an opponent?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 7 – From End Zone</i>",It is ruled as an offside pass in the end zone.
"In the offside pass in the end zone scenario, what options/penalties are given to Team A and Team B?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 7 – From End Zone</i>","Penalty: Team A – 1.2 D safety touch to B, or B option to allow A to scrimmage 24 yards (22 metres) in from the out-of-bounds point, downs continue; or 3D safety touch to B, or B possession 24 yards (22 metres) in from out-of-bounds point. Team B – 1 or 2 points as applicable, or A option to allow B to scrimmage 24 yards (22 metres) in from the out-of-bounds point."
"What exceptions prevent a score in Article 7 (a) or (b)?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 7 – From End Zone</i>","No score in (a) or (b) if the ball is in the end zone from a forward pass intercepted in the end zone, or as a result of a fumble into the end zone by an opponent, or if the ball carrier has been knocked back into the end zone by an opponent and is not subsequently free to advance the ball."
"Under what conditions is it illegal for a player to go out of bounds and return to the field to participate in the play?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>","It is illegal for a player to go out of bounds and return to the field and participate in the play unless the player went out of bounds as a result of: a) a slippery field, b) contact with an opponent, or c) a missed block or tackle."
"What must an out-of-bounds player do to legally re-enter and participate?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>",The player is allowed to return but must re-establish themselves in the field of play with at least one foot in bounds and no contact with out of bounds.
"What is the penalty if a player illegally participates by reaching back into or re-entering the field to touch/recover a loose ball?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>",Penalty – LB PF.
"What is the penalty when a player illegally participates by going out of bounds on a Kick-off before possession has been legally gained?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>",Penalty - L10 from the point of kick-off: repeat kick-off or option.
"What is the penalty when a player illegally participates by going out of bounds on a Kick-off after possession has been legally gained?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>","Penalty - L10 PP, PBH, PBD or option."
"What happens if a player of Team B reaches back into the field of play while still out of bounds and touches a kickoff?

<i>Rule 1 – Conduct of the Game | Section 10: Out of Bounds | Article 8 – Player Out of Bounds</i>","The ball is dead at the spot of touch, with possession awarded along with a 10-yard penalty for Illegal participation."
"What uniform or equipment requirements prevent injuries or interference with the opponent, and what action can the Referee take if violated?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>","No player may wear equipment that may injure the opponent; the Referee may remove any player whose equipment, in the Referee’s opinion, endangers a participant. No team may wear uniforms that blend closely with the ball’s color, and numbers must be easy to identify."
"Which equipment items are mandatory for all players, and what is a key restriction on knee protection (straps)?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>","Mandatory equipment: (1) knee protection (soft padding fully captured in continuous material, or insertable in football pants); knee protection cannot include any strap featuring a buckle, Velcro, clip, or any strap that could become unfastened during play. (2) thigh guards, (3) hip pads with tailbone protector, (4) shoulder pads, (5) mouthguard (as specified in Article 3), (6) shoes meeting the specs or approved types as described, and (7) items 1,2,3,4 plus all back plates and rib protectors must be covered by pants or jersey (except certain snap-in soft foam hip/tail pad systems). (8) helmet and face guard per rule 1-11-2."
"When a team uses illegal material or slippery substances, or illegal gloves, what consequence applies and when is the offending player removed?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>","Adhesive material/grease or any slippery substance applied to a player’s person or clothing that affects the ball or an opponent is illegal. Any gloves with webbing between the digits are illegal. For both violations, the offending player is removed from the game until the illegal material/substance/gloves are removed; immediate substitution is made but the game is not delayed."
"What are the uniform-number rules (including changes during the game), and what happens if a jersey is torn?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>","All players’ numbers must conform to those listed on the score sheet, and players must retain the same numbers throughout the game except when the Referee gives permission to change. If a sweater is torn, the Referee shall allow reasonable time for substitution, but any change in number must be reported to the scorer."
"What is the penalty if a player ties or knots team jerseys?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>",It is illegal to tie or knot team jerseys. Penalty: the offending player shall be removed from the game until the illegal equipment is replaced or the score sheet is corrected.
"What is the penalty when a player has a second mouthguard or an illegal extra mouthguard?

<i>Rule 1 | Conduct of the Game | Section 11 – Uniform & Equipment | Article 1 – General</i>","It is illegal for a player to have a second mouthguard (including an extra-oral mouthguard attached or fixated to the helmet or facemask). Penalty: loss of 5 yards from the point where the ball would have been put into play (if no other foul had occurred), or added to the penalty for any other foul; the offending player is removed until the illegal equipment is replaced. Immediate substitution is made but the game is not delayed. If more than 1 player offends on the same play, only 1 L5 is applied for that play; subsequent plays are penalized the same way (L5 each play where 1 or more players offend)."
"What must happen if a player who is not registered by name and number appears before the start of the game?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 1 – Registration</i>","The offending player shall be removed from the game until the score sheet has been corrected. Immediate substitution will be made, and the game shall not be delayed."
"Is a score by a non-registered player automatically illegal? Under what condition?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 1 – Registration</i>","Any score made by a non-registered player is legal, provided the player is then registered on the score sheet."
"Under what condition may substitutes enter the field of play?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>",Substitutes may enter the field of play when the ball is dead and only at that time.
"When may a team’s substitutes no longer enter the field, regardless of how many players are on the field?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","After Team A breaks its huddle, the sideline officials raise their arms to shoulder level; after that, no substitute shall enter the field for any reason."
"What makes a “sleeper play” illegal? How is it defined?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","It is illegal to use substitution proceedings, or alleged substitution proceedings, to deceive the opponent. A “sleeper play” is defined as a pass play or kick play designed to deceive the opponent."
"What is the penalty for Team A if substitution deception leads to an illegal sleeper play on the subsequent play?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","Penalty: Team A 1.2D – L10 DR, 3D DG – L10 DR, 3D DNG – LB, PBD."
"What requirement applies to a substitute who enters the field to the extent they can communicate with a teammate?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>",The substitute must remain on the field for the subsequent play.
"What is the penalty if a substitute does not remain on the field for the subsequent play?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 2 – Substitution Procedure</i>","Penalty: Team A 1.2D – L10 DR, 3D DG – L10 DR, 3D DNG – LB, PBD. Team B L10."
"What is the maximum number of players and/or substitutes a team may have on the field during a play?

<i>Rule 1 – Conduct of the Game | Section 12: Players and Substitutes | Article 3 – Excess Number of Players</i>",It is illegal for a team to have more than 12 players and/or substitutes on the field during a play.
